"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","397","Empty password shows required message","chromium","2026-09-13","passed","2026-09-13","Login","smoke/login.spec.ts","",""
"","462","Validate main components on Inventory page","chromium","2026-09-13","passed","2026-09-13","Inventory components validations","smoke/inventory_components_validations.spec.ts","",""
"","423","Empty username shows required message","chromium","2026-09-13","passed","2026-09-13","Login","smoke/login.spec.ts","",""
"","422","Invalid credentials","chromium","2026-09-13","passed","2026-09-13","Login","smoke/login.spec.ts","",""
"","486","Sort products low to high","chromium","2026-09-13","passed","2026-09-13","Product Catalog","smoke/catalog.spec.ts","",""
"","569","Products are displayed","chromium","2026-09-13","passed","2026-09-13","Product Catalog","smoke/catalog.spec.ts","",""
"","447","Successful login","chromium","2026-09-13","passed","2026-09-13","Login","smoke/login.spec.ts","",""
"","581","authenticate","setup","2026-09-13","passed","2026-09-13","","auth.setup.ts","",""
"","496","Sort products high to low","chromium","2026-09-13","passed","2026-09-13","Product Catalog","smoke/catalog.spec.ts","",""
"","418","Locked user","chromium","2026-09-13","passed","2026-09-13","Login","smoke/login.spec.ts","",""
